Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar,G5 currency index,Producer index,Consumer index
29/12/78,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,226.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.1,#N/A,226.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01/01/79,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,226.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.1,#N/A,226.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02/01/79,226.8,137.3,"43,164.9",111.4,263.7,359.6,"1,792.9",#N/A,226.8,#N/A,735.6,"1,38,160.4",851.3,"4,454.6",#N/A,#N/A,"1,07,470.0",137.3,#N/A,226.8,194.6,#N/A,263.7,193.6,132.5,#N/A,#N/A
03/01/79,218.6,134.0,"43,717.9",108.0,264.4,365.9,"1,802.2",#N/A,218.6,#N/A,739.4,"1,38,877.0",855.7,"4,477.7",#N/A,#N/A,"1,08,027.4",134.0,#N/A,218.6,192.2,#N/A,264.4,193.0,134.2,#N/A,#N/A
04/01/79,223.2,136.8,"43,674.9",110.7,264.1,366.4,"1,811.7",#N/A,223.2,#N/A,743.4,"1,39,616.3",860.3,"4,501.5",#N/A,#N/A,"1,08,602.5",136.8,#N/A,223.2,193.0,#N/A,264.1,194.6,134.1,#N/A,#N/A
05/01/79,225.5,138.3,"44,582.5",111.6,268.4,373.7,"1,843.6",#N/A,225.5,#N/A,756.4,"1,42,069.1",875.4,"4,580.6",#N/A,#N/A,"1,10,510.4",138.3,#N/A,225.5,196.4,#N/A,268.4,197.9,136.8,#N/A,#N/A
08/01/79,223.1,136.4,"44,436.2",110.1,269.5,372.6,"1,841.3",#N/A,223.1,#N/A,750.9,"1,41,870.9",869.7,"4,574.2",#N/A,#N/A,"1,10,356.3",136.4,#N/A,223.1,197.2,#N/A,269.5,197.9,136.4,#N/A,#N/A
09/01/79,224.0,137.3,"44,045.6",110.9,266.3,372.8,"1,822.5",#N/A,224.0,#N/A,743.3,"1,40,446.7",860.9,"4,528.3",#N/A,#N/A,"1,09,248.4",137.3,#N/A,224.0,195.0,#N/A,266.3,195.9,135.2,#N/A,#N/A
10/01/79,220.7,135.5,"43,366.4",109.9,261.8,365.9,"1,803.5",#N/A,220.7,#N/A,735.6,"1,38,981.0",852.0,"4,481.0",#N/A,#N/A,"1,08,108.3",135.5,#N/A,220.7,192.0,#N/A,261.8,192.7,133.1,#N/A,#N/A
11/01/79,220.7,135.9,"43,770.5",110.2,262.5,370.9,"1,814.6",#N/A,220.7,#N/A,740.1,"1,39,833.8",857.2,"4,508.5",#N/A,#N/A,"1,08,771.7",135.9,#N/A,220.7,192.3,#N/A,262.5,193.8,134.3,#N/A,#N/A
12/01/79,217.6,134.1,"42,837.1",109.0,257.2,364.6,"1,782.6",#N/A,217.6,#N/A,727.1,"1,37,371.8",842.1,"4,429.1",#N/A,#N/A,"1,06,856.6",134.1,#N/A,217.6,187.1,#N/A,257.2,189.8,131.5,#N/A,#N/A
15/01/79,216.9,133.8,"42,795.3",108.8,256.8,367.7,"1,782.0",#N/A,216.9,#N/A,718.1,"1,35,122.4",825.5,"4,374.7",#N/A,#N/A,"1,06,819.8",133.8,#N/A,216.9,187.2,#N/A,256.8,189.8,131.4,#N/A,#N/A
16/01/79,220.7,135.6,"43,225.9",110.2,260.9,367.7,"1,796.5",#N/A,220.7,#N/A,724.0,"1,36,222.9",832.3,"4,410.3",#N/A,#N/A,"1,07,689.8",135.6,#N/A,220.7,189.2,#N/A,260.9,191.9,132.7,#N/A,#N/A
17/01/79,227.3,139.2,"44,349.7",113.3,267.6,376.2,"1,842.1",#N/A,227.3,#N/A,742.3,"1,39,676.2",853.4,"4,522.2",#N/A,#N/A,"1,10,419.8",139.2,#N/A,227.3,196.0,#N/A,267.6,197.1,136.1,#N/A,#N/A
18/01/79,231.8,141.7,"44,823.4",115.3,270.8,379.1,"1,861.7",#N/A,231.8,#N/A,750.3,"1,41,168.1",862.5,"4,570.5",#N/A,#N/A,"1,11,599.2",141.7,#N/A,231.8,197.1,#N/A,270.8,199.0,137.6,#N/A,#N/A
19/01/79,230.6,141.1,"46,908.8",115.1,280.9,396.1,"1,940.8",#N/A,230.6,#N/A,782.1,"1,47,159.4",899.1,"4,764.4",#N/A,#N/A,"1,16,335.5",141.1,#N/A,230.6,206.5,#N/A,280.9,207.6,144.0,#N/A,#N/A
22/01/79,235.0,144.0,"46,387.4",117.6,278.3,393.5,"1,886.9",#N/A,235.0,#N/A,781.1,"1,46,492.7",898.4,"4,746.6",#N/A,#N/A,"1,15,493.3",144.0,#N/A,235.0,203.5,#N/A,278.3,205.7,142.4,#N/A,#N/A
23/01/79,230.0,141.1,"45,633.1",115.2,273.3,386.8,"1,895.4",#N/A,230.0,#N/A,768.4,"1,44,110.7",883.8,"4,669.5",#N/A,#N/A,"1,13,615.3",141.1,#N/A,230.0,200.7,#N/A,273.3,202.0,140.1,#N/A,#N/A
